ep_len_mean,clipfrac,fps,time_elapsed,approxkl,policy_loss,total_timesteps,serial_timesteps,explained_variance,policy_entropy,true_reward,n_updates,ep_reward_mean,value_loss
249.03,0.028028,95484,97.45283555984497,0.003322587,-0.0041915854,3925000,39250,0.9258824586868286,5.1608987,0.09074755,157,22.645786223602116,0.016316505
249.31,0.022812,103782,98.06255292892456,0.0028100614,-0.0037448648,3950000,39500,0.8877869620919228,5.153713,0.09051131,158,22.596793003726926,0.017072665
249.47,0.015980002,99928,98.65509963035583,0.002455836,-0.0034159936,3975000,39750,0.9099686816334724,5.1478763,0.09149922,159,22.853248515189627,0.012271744
249.03,0.016048001,105792,99.25381350517273,0.002537867,-0.00411472,4000000,40000,0.9087861403822899,5.1403403,0.09208069,160,22.986039254693313,0.0138083305
249.37,0.030104002,95304,99.85053515434265,0.0031854857,-0.0038378153,4025000,40250,0.903321273624897,5.130113,0.0912914,161,22.79737835518783,0.013846484
249.45,0.033572,100587,100.46131801605225,0.003683525,-0.003823487,4050000,40500,0.8751849234104156,5.1204405,0.0918526,162,22.94928369675763,0.013073102
248.69,0.022967998,99840,101.06179070472717,0.0031004448,-0.004096618,4075000,40750,0.868147000670433,5.111008,0.09063579,163,22.622691312916576,0.02546798
250.0,0.029032001,102480,101.65923500061035,0.0031687662,-0.0036073872,4100000,41000,0.8762269765138626,5.1047654,0.09156923,164,22.892308137909566,0.009589995
250.0,0.01312,98381,102.26304078102112,0.0018733649,-0.0032553293,4125000,41250,0.9303844198584557,5.096492,0.09057473,165,22.64368135606908,0.0121451095
249.37,0.02054,102098,102.86621284484863,0.0025237678,-0.0034335349,4150000,41500,0.9289048537611961,5.0834723,0.08997851,166,22.47317355684616,0.019776456
250.0,0.031788,99252,103.4553530216217,0.0036620845,-0.0040701497,4175000,41750,0.9234375804662704,5.072688,0.0906659,167,22.666476904870652,0.010759438
250.0,0.017712,99867,104.04730200767517,0.0024987669,-0.0034566044,4200000,42000,0.890045516192913,5.0623164,0.09067851,168,22.66962903782194,0.011752578
250.0,0.033144,105073,104.63430762290955,0.0036003613,-0.004197562,4225000,42250,0.8645271062850952,5.0522437,0.090959586,169,22.739896414346294,0.008316415
248.82,0.01166,105329,105.22402477264404,0.001782476,-0.0036493607,4250000,42500,0.8984775543212891,5.040784,0.090549305,170,22.594656378276703,0.017243916
249.38,0.018248001,100304,105.80618596076965,0.0023089317,-0.0031467644,4275000,42750,0.8914730027318001,5.0308433,0.091204345,171,22.773240049478368,0.010184619
250.0,0.015583999,100121,106.40074372291565,0.0025026395,-0.00335776,4300000,43000,0.8349415212869644,5.025885,0.09165956,172,22.91488901790115,0.005904431
250.0,0.012976,103054,106.98744440078735,0.0019927048,-0.0026548535,4325000,43250,0.8920468911528587,5.0184994,0.09154654,173,22.88663319825544,0.0055436483
